id,name,วัสดุ,วัสดุที่ใช้คำนวนค่าแรง,markup,กว้าง,ยาว,หนา,มูลค่าต้นทุน,ราคาขาย,ความเร็วตัดงาน,ความเร็วระหว่างจุด,เวลาเจาะงาน,gas,pressure,nozzle diameter,corner valid,corner length,corner speed,corner cooling time,corner beam on time,evade,start time valid,start time length,start time speed,start cooling time,start beam on time,salary,man count,man work hour,factory rate,machine cost,machine count,machine work hour,consumable part MTN cost,laser gas cost,laser gas power,electric unit cost,power,rate of operation
1,SS400-1.2x2.4T1.2,เหล็กแผ่นดำ SS400,SECC/SPCC-1.2mm,1.3,1200,2400,1.2,647,719,5300,48000,0.3,O2,3.5,1,1,0.5,300,0,0,30,1,2,500,0,0.3,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
2,SS400-1.2x2.4T1.5,เหล็กแผ่นดำ SS400,SECC/SPCC-1.6mm,1.3,1200,2400,1.5,788,876,5000,48000,0.3,O2,3.5,1,0,0.5,300,0,0,30,1,2,500,0,0.3,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
3,SS400-1.2x2.4T2.0,เหล็กแผ่นดำ SS400,SECC/SPCC-2.0mm,1.3,1200,2400,2,981,1090,4500,48000,0.4,O2,3.5,1,0,1,200,0,0,30,1,2,350,0,0.3,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
4,SS400-1.5x3.0T2.0,เหล็กแผ่นดำ SS400,SECC/SPCC-2.0mm,1.3,1500,3000,2,1531,1702,4500,48000,0.4,O2,3.5,1,0,1,200,0,0,30,1,2,350,0,0.3,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
5,SS400-1.2x2.4T3.0,เหล็กแผ่นดำ SS400,SECC/SPCC-3.2mm,1.3,1200,2400,3,1470,1634,3600,48000,0.5,O2,0.6,1,0,1,150,0,0,30,1,2,400,0,0.3,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
6,SS400-1.5x3.0T3.0,เหล็กแผ่นดำ SS400,SECC/SPCC-3.2mm,1.3,1500,3000,3,2298,2554,3600,48000,0.5,O2,0.6,1,0,1,150,0,0,30,1,2,400,0,0.3,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
7,SS400-1.2x2.4T4.0,เหล็กแผ่นดำ SS400,SPCC-4.5mm,1.2,1200,2400,4,1962,2180,3000,48000,0.6,O2,0.6,1,0,1,150,0,0,30,1,2,700,0,0.5,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
8,SS400-1.5x3.0T4.0,เหล็กแผ่นดำ SS400,SPCC-4.5mm,1.2,1500,3000,4,3064,3405,3000,48000,0.6,O2,0.6,1,0,1,150,0,0,30,1,2,700,0,0.5,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
9,SS400-1.2x2.4T4.5,เหล็กแผ่นดำ SS400,SPCC-4.5mm,1.2,1200,2400,4.5,2205,2450,3000,48000,0.6,O2,0.6,1,0,1,150,0,0,30,1,2,700,0,0.5,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
10,SS400-1.5x3.0T4.5,เหล็กแผ่นดำ SS400,SPCC-4.5mm,1.2,1500,3000,4.5,3446,3829,3000,48000,0.6,O2,0.6,1,0,1,150,0,0,30,1,2,700,0,0.5,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
11,SS400-1.2x2.4T5.0,เหล็กแผ่นดำ SS400,SS400-6.0mm.,1.3,1200,2400,5,2451,2724,2200,48000,1,O2,0.6,1,0,3,300,0,0,30,1,2,400,0,0.5,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
12,SS400-1.5x3.0T5.0,เหล็กแผ่นดำ SS400,SS400-6.0mm.,1.3,1500,3000,5,3829,4255,2200,48000,1,O2,0.6,1,0,3,300,0,0,30,1,2,400,0,0.5,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
13,SS400-1.2x2.4T6.0,เหล็กแผ่นดำ SS400,SS400-6.0mm.,1.3,1200,2400,6,2940,3267,2200,48000,1,O2,0.6,1,0,3,300,0,0,30,1,2,400,0,0.5,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
14,SS400-1.5x3.0T6.0,เหล็กแผ่นดำ SS400,SS400-6.0mm.,1.3,1500,3000,6,4595,5106,2200,48000,1,O2,0.6,1,0,3,300,0,0,30,1,2,400,0,0.5,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
15,SS400-1.2x2.4T6.0CP,เหล็กแผ่นดำ SS400,SS400-6.0mm.,1.3,1200,2400,6,3921,4357,2200,48000,1,O2,0.6,1,0,3,300,0,0,30,1,2,400,0,0.5,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
16,SS400-1.2x2.4T8.0,เหล็กแผ่นดำ SS400,SS400-9.0mm.,1.3,1200,2400,8,4410,4900,1500,48000,8,O2,0.6,2,1,1.5,70,1,0.5,30,1,2,60,1,0.5,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
17,SS400-1.2x2.4T9.0,เหล็กแผ่นดำ SS400,SS400-9.0mm.,1.3,1200,2400,9,4902,5447,1500,48000,8,O2,0.6,2,1,1.5,70,1,0.5,30,1,2,60,1,0.5,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
18,SS400-1.2x2.4T10.0,เหล็กแผ่นดำ SS400,SS400-12.0mm.,1.3,1200,2400,10,7659,8510,1100,48000,9,O2,0.6,2,1,1.5,70,1,0.5,30,1,2,60,1,1,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
19,SS400-1.5x3.0T10.0,เหล็กแผ่นดำ SS400,SS400-12.0mm.,1.3,1500,3000,10,5882,6536,1100,48000,9,O2,0.6,2,1,1.5,70,1,0.5,30,1,2,60,1,1,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
20,SS400-1.2x2.4T12.0,เหล็กแผ่นดำ SS400,SS400-12.0mm.,1.3,1200,2400,12,9190,10212,1100,48000,9,O2,0.6,2,1,1.5,70,1,0.5,30,1,2,60,1,1,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
21,SS400-1.5x3.0T12.0,เหล็กแผ่นดำ SS400,SS400-12.0mm.,1.3,1500,3000,12,11437,12708,1100,48000,9,O2,0.6,2,1,1.5,70,1,0.5,30,1,2,60,1,1,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
22,SS400-1.2x2.4T15.0,เหล็กแผ่นดำ SS400,SS400-16.0mm.,1.3,1200,2400,15,8578,9532,800,48000,12,O2,0.6,2,1,1.5,50,1,0.5,30,1,3,70,1.5,1,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
23,SS400-1.5x3.0T15.0,เหล็กแผ่นดำ SS400,SS400-16.0mm.,1.3,1500,3000,15,13402,14892,800,48000,12,O2,0.6,2,1,1.5,50,1,0.5,30,1,3,70,1.5,1,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
24,SS400-1.2x2.4T16.0,เหล็กแผ่นดำ SS400,SS400-16.0mm.,1.3,1200,2400,16,5610,6234,800,48000,12,O2,0.6,2,1,1.5,50,1,0.5,30,1,3,70,1.5,1,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
25,SS400-1.2x2.4T20.0,เหล็กแผ่นดำ SS400,SS400-20.0mm.,1.3,1200,2400,20,9149,10166,700,48000,15,O2,0.6,2,1,2,30,2,0.5,30,1,3,40,1.5,1,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
26,SECC-1.2x2.4T0.5,เหล็กแผ่นซุปซิ๊งค์ SECC,SPCC-0.5mm,1.3,1200,2400,0.5,397,442,8000,48000,0.1,O2,6,1.7,0,4,100,0,1,30,0,2,200,0,0.5,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
27,SECC-1.2x2.4T0.8,เหล็กแผ่นซุปซิ๊งค์ SECC,SPCC-0.8mm,1.3,1200,2400,0.8,601,668,6000,48000,0.1,O2,6,1.7,0,4,100,0,1,30,0,2,200,0,0.5,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
28,SECC-1.2x2.4T1.0,เหล็กแผ่นซุปซิ๊งค์ SECC,SECC/SPCC-1.0mm,1.3,1200,2400,1,723,804,7000,48000,0.2,O2,3.5,1,0,4,100,0,1,30,0,2,300,0,0.5,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
29,SECC-1.2x2.4T1.2,เหล็กแผ่นซุปซิ๊งค์ SECC,SECC/SPCC-1.2mm,1.3,1200,2400,1.2,868,965,5300,48000,0.3,O2,3.5,1,1,0.5,300,0,0,30,1,2,500,0,0.3,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
30,SECC-1.2x2.4T1.5,เหล็กแผ่นซุปซิ๊งค์ SECC,SECC/SPCC-1.6mm,1.3,1200,2400,1.5,1085,1206,5000,48000,0.3,O2,3.5,1,0,0.5,300,0,0,30,1,2,500,0,0.3,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
31,SECC-1.2x2.4T2.0,เหล็กแผ่นซุปซิ๊งค์ SECC,SECC/SPCC-2.0mm,1.3,1200,2400,2,1445,1606,4500,48000,0.4,O2,3.5,1,0,1,200,0,0,30,1,2,350,0,0.3,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
32,SECC-1.2x2.4T3.0,เหล็กแผ่นซุปซิ๊งค์ SECC,SECC/SPCC-3.2mm,1.3,1200,2400,3,3850,4278,3600,48000,0.5,O2,0.6,1,0,1,150,0,0,30,1,2,400,0,0.3,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
33,SECC-1.2x2.4T2.0CP,เหล็กแผ่นซุปซิ๊งค์ SECC,SECC/SPCC-2.0mm,1.3,1200,2400,2,1991,2213,4500,48000,0.4,O2,3.5,1,0,1,200,0,0,30,1,2,350,0,0.3,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
34,SECC-1.2x2.4T3.0CP,เหล็กแผ่นซุปซิ๊งค์ SECC,SECC/SPCC-3.2mm,1.3,1200,2400,3,2805,3117,3600,48000,0.5,O2,0.6,1,0,1,150,0,0,30,1,2,400,0,0.3,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
35,SECC-1.2x2.4T0.9SP,เหล็กแผ่นซุปซิ๊งค์ SECC,SECC/SPCC-1.0mm,1.3,1200,2400,0.9,530,589,7000,48000,0.2,O2,3.5,1,0,4,100,0,1,30,0,2,300,0,0.5,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
36,SECC-1.2x2.4T1.0SP,เหล็กแผ่นซุปซิ๊งค์ SECC,SECC/SPCC-1.0mm,1.3,1200,2400,1,571,635,7000,48000,0.2,O2,3.5,1,0,4,100,0,1,30,0,2,300,0,0.5,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
37,SECC-1.2x2.4T1.0F,เหล็กแผ่นซุปซิ๊งค์ SECC,SECC/SPCC-1.0mm,1.3,1200,2400,1,1120,1245,7000,48000,0.2,O2,3.5,1,0,4,100,0,1,30,0,2,300,0,0.5,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
38,SUS3042B-1.2x2.4T0.8,แผ่นสแตนเลส SUS 304 2B,SUS-0.8mm.,1.4,1200,2400,0.8,1450,1612,8000,48000,0.1,N2H,8,1.7,0,3,300,0,0,30,0,2,300,0,0.5,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
39,SUS3042B-1.2x2.4T1.0,แผ่นสแตนเลส SUS 304 2B,SUS-1.0mm.,1.4,1200,2400,1,1800,2000,7500,48000,0.1,N2H,8,1.7,0,3,300,0,0,30,0,2,300,0,0.5,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
40,SUS3042B-1.5x3.05T1.0,แผ่นสแตนเลส SUS 304 2B,SUS-1.0mm.,1.4,1500,3000,1,2800,3112,7500,48000,0.1,N2H,8,1.7,0,3,300,0,0,30,0,2,300,0,0.5,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
41,SUS3042B-1.22x2.44T1.2,แผ่นสแตนเลส SUS 304 2B,SUS-1.5mm.,1.4,1200,2400,1.2,2000,2223,4200,48000,0.2,N2,6.5,2.5,0,3,300,0,0,30,0,2,300,0,0,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
42,SUS3042B-1.2x3.0T1.2,แผ่นสแตนเลส SUS 304 2B,SUS-1.5mm.,1.4,1200,3000,1.2,3200,3556,4200,48000,0.2,N2,6.5,2.5,0,3,300,0,0,30,0,2,300,0,0,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
43,SUS3042B-1.5x3.0T1.2,แผ่นสแตนเลส SUS 304 2B,SUS-1.5mm.,1.4,1500,3000,1.2,3300,3667,4200,48000,0.2,N2,6.5,2.5,0,3,300,0,0,30,0,2,300,0,0,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
44,SUS3042B-1.22x2.44T1.5,แผ่นสแตนเลส SUS 304 2B,SUS-1.5mm.,1.4,1200,2400,1.5,2430,2700,4200,48000,0.2,N2,6.5,2.5,0,3,300,0,0,30,0,2,300,0,0,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
45,SUS3042B-1.2x3.05T1.5,แผ่นสแตนเลส SUS 304 2B,SUS-1.5mm.,1.4,1200,3000,1.5,3600,4000,4200,48000,0.2,N2,6.5,2.5,0,3,300,0,0,30,0,2,300,0,0,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
46,SUS3042B-1.5x3.05T1.5,แผ่นสแตนเลส SUS 304 2B,SUS-1.5mm.,1.4,1500,3000,1.5,4100,4556,4200,48000,0.2,N2,6.5,2.5,0,3,300,0,0,30,0,2,300,0,0,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
47,SUS3162B-1.2x2.4T1.5,แผ่นสแตนเลส SUS 316 2B,SUS-1.5mm.,1.4,1200,2400,1.5,6000,6667,4200,48000,0.2,N2,6.5,2.5,0,3,300,0,0,30,0,2,300,0,0,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
48,SUS3162B-1.5x3.0T1.5,แผ่นสแตนเลส SUS 316 2B,SUS-1.5mm.,1.4,1500,3000,1.5,9800,10889,4200,48000,0.2,N2,6.5,2.5,0,3,300,0,0,30,0,2,300,0,0,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
49,SUS3042B-1.22x2.4T2.0,แผ่นสแตนเลส SUS 304 2B,SUS-2.0mm.,1.4,1200,2400,2,3300,3667,3000,48000,0.2,N2,6.5,2.5,0,3,300,0,0,30,0,2,300,0,0,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
50,SUS3042B-1.5x3.0T2.0,แผ่นสแตนเลส SUS 304 2B,SUS-2.0mm.,1.4,1500,3000,2,5100,5667,3000,48000,0.2,N2,6.5,2.5,0,3,300,0,0,30,0,2,300,0,0,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
51,SUS3042B-1.2x2.4T3.0,แผ่นสแตนเลส SUS 304 2B,SUS-3.0mm.,1.4,1200,2400,3,4900,5445,1700,48000,0.4,N2,7,2.5,0,3,300,0,0,30,1,3,500,0,0,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
52,SUS3042B-1.2x3.0T3.0,แผ่นสแตนเลส SUS 304 2B,SUS-3.0mm.,1.4,1200,3000,3,7800,8667,1700,48000,0.4,N2,7,2.5,0,3,300,0,0,30,1,3,500,0,0,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
53,SUS3042B-1.5x3.0T3.0,แผ่นสแตนเลส SUS 304 2B,SUS-3.0mm.,1.4,1500,3000,3,5100,5667,1700,48000,0.4,N2,7,2.5,0,3,300,0,0,30,1,3,500,0,0,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
54,SUS3042B-1.2x2.4T4.0,แผ่นสแตนเลส SUS 304 2B,SUS-4.0mm.,1.4,1200,2400,4,9900,11000,750,48000,0.4,N2,7,2.5,0,3,300,0,0,30,1,3,500,0,0,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
55,SUS3042B-1.2x2.4T5.0,แผ่นสแตนเลส SUS 304 2B,SUS-5.0mm.,1.4,1200,2400,5,13800,15334,1400,48000,0.5,N2H,11,2.5,1,1,300,0,0.3,30,1,3,200,0,0.5,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
56,SUS304N1-1.2x2.4T5.0,แผ่นสแตนเลส SUS 304 No.1,SUS-5.0mm.,1.4,1200,2400,5,7400,8223,1400,48000,0.5,N2H,11,2.5,1,1,300,0,0.3,30,1,3,200,0,0.5,10000,3,8,0,500000,1,8,150000,10000,0,3.5,2700,100
